Company Name,Category,Sector,Share Price,Market Cap (in crores),Source,Lot Size,Min. Qty.,ISIN,Special Comment,Sell Price Rupeess
Reliance Retail Limited,Unlisted,Retail,"1,275.00","1,188,386.002",https://wwipl.com/,,,,,
Flipkart India Private Limited,Unlisted,eCommerce,"231,001.00","283,928.180",https://wwipl.com/,,,,,
National Stock Exchange of India Limited,Unlisted,Financial Service,"3,300.00","163,350.000",https://wwipl.com/,,,,,
Tata Capital Limited,Unlisted,Investment & Holding,430.00,"153,085.153",https://wwipl.com/,,,,,
Capgemini Technology Services India Limited,Delisted,"IT, Software","10,100.00","59,864.009",https://wwipl.com/,,,,,
Bundl Technologies Private Limited,Unlisted,Food Delivery,361.00,"59,315.077",https://wwipl.com/,,,,,
SBI Funds Management Limited,Unlisted,Financial Service,"1,050.00","52,837.490",https://wwipl.com/,,,,,
HDB Financial Services Limited,Unlisted,Financial Service,660.00,"52,232.339",https://wwipl.com/,,,,,
Oravel Stays Limited,Pre IPO,eCommerce,67.00,"40,404.537",https://wwipl.com/,,,,,
Nayara Energy Limited,Delisted,"Energy, Oil & Gas",270.00,"40,245.151",https://wwipl.com/,,,,,
Tata Technologies Limited,Pre IPO,"IT, Software",850.00,"34,481.825",https://wwipl.com/,,,,,
Go Digit,Unlisted,General Insurance,354.00,"30,940.233",https://wwipl.com/,,,,,
HDFC Ergo General Insurance Company Limited,Unlisted,Health Insurance,370.00,"26,440.792",https://wwipl.com/,,,,,
Anheuser Busch Inbev India Limited,Delisted,Breweries & Distilleries,365.00,"22,505.093",https://wwipl.com/,,,,,
Atlas Copco India Private Limited,Delisted,Equipment,"10,000.00","21,871.393",https://wwipl.com/,,,,,
Hexaware Technologies Limited,Delisted,"IT, Software",595.00,"18,101.396",https://wwipl.com/,,,,,
Waaree Energies Limited,Pre IPO,Renewable Energy,725.00,"17,644.040",https://wwipl.com/,,,,,
HDFC Securities Limited,Unlisted,Financial Service,"11,100.00","17,643.006",https://wwipl.com/,,,,,
Shriram General Insurance Co Limited,Unlisted,General Insurance,630.00,"16,327.253",https://wwipl.com/,,,,,
Care Health Insurance Limited,Unlisted,Health Insurance,172.00,"16,206.366",https://wwipl.com/,,,,,
Hero FinCorp Limited,Unlisted,Financial Service,"1,160.00","14,767.574",https://wwipl.com/,,,,,
PNB Metlife India Insurance Company Limited,Unlisted,Life Insurance,70.00,"14,090.190",https://wwipl.com/,,,,,
National Securities Depository Limited,Pre IPO,Financial Service,700.00,"14,000.000",https://wwipl.com/,,,,,
SBI General Insurance Company Ltd,Unlisted,General Insurance,569.00,"12,387.996",https://wwipl.com/,,,,,
Vikram Solar Limited,Pre IPO,Renewable Energy,350.00,"9,059.050",https://wwipl.com/,,,,,
Imagine Marketing Limited,Pre IPO,Consumer Durable,890.00,"8,546.697",https://wwipl.com/,,,,,
Reliance General Insurance Company Limited,Unlisted,General Insurance,333.00,"8,437.084",https://wwipl.com/,,,,,
Acevector Limited,Unlisted,eCommerce,200.00,"7,946.118",https://wwipl.com/,,,,,
Signify Innovations India Limited,Unlisted,Consumer Durable,"1,375.00","7,908.621",https://wwipl.com/,,,,,
Cochin International Airport Limited,Unlisted,Airport,180.00,"6,886.345",https://wwipl.com/,,,,,
Chennai Super Kings Cricket Limited,Unlisted,Sports Franchisee,165.00,"6,260.513",https://wwipl.com/,,,,,
