Company Name,Category,Sector,Share Price,Market Cap (in crores),Source,Lot Size,Min. Qty.,ISIN,Special Comment,Sell Price Rupeess
Reliance Retail Limited,Unlisted,Retail,1275,"1,188,386.00",https://wwipl.com/,,,,,
Flipkart India Private Limited,Unlisted,eCommerce,231001,"283,928.18",https://wwipl.com/,,,,,
National Stock Exchange of India Limited,Unlisted,Financial Service,3300,"163,350.00",https://wwipl.com/,,,,,
Tata Capital Limited,Unlisted,Investment & Holding,430,"153,085.15",https://wwipl.com/,,,,,
Capgemini Technology Services India Limited,Delisted,"IT, Software",10100,"59,864.01",https://wwipl.com/,,,,,
Bundl Technologies Private Limited,Unlisted,Food Delivery,361,"59,315.08",https://wwipl.com/,,,,,
SBI Funds Management Limited,Unlisted,Financial Service,1050,"52,837.49",https://wwipl.com/,,,,,
HDB Financial Services Limited,Unlisted,Financial Service,660,"52,232.34",https://wwipl.com/,,,,,
Oravel Stays Limited,Pre IPO,eCommerce,67,"40,404.54",https://wwipl.com/,,,,,
Nayara Energy Limited,Delisted,"Energy, Oil & Gas",270,"40,245.15",https://wwipl.com/,,,,,
Tata Technologies Limited,Pre IPO,"IT, Software",850,"34,481.83",https://wwipl.com/,,,,,
Go Digit,Unlisted,General Insurance,354,"30,940.23",https://wwipl.com/,,,,,
HDFC Ergo General Insurance Company Limited,Unlisted,Health Insurance,370,"26,440.79",https://wwipl.com/,,,,,
Anheuser Busch Inbev India Limited,Delisted,Breweries & Distilleries,365,"22,505.09",https://wwipl.com/,,,,,
Atlas Copco India Private Limited,Delisted,Equipment,10000,"21,871.39",https://wwipl.com/,,,,,
Hexaware Technologies Limited,Delisted,"IT, Software",595,"18,101.40",https://wwipl.com/,,,,,
Waaree Energies Limited,Pre IPO,Renewable Energy,725,"17,644.04",https://wwipl.com/,,,,,
HDFC Securities Limited,Unlisted,Financial Service,11100,"17,643.01",https://wwipl.com/,,,,,
Shriram General Insurance Co Limited,Unlisted,General Insurance,630,"16,327.25",https://wwipl.com/,,,,,
Care Health Insurance Limited,Unlisted,Health Insurance,172,"16,206.37",https://wwipl.com/,,,,,
Hero FinCorp Limited,Unlisted,Financial Service,1160,"14,767.57",https://wwipl.com/,,,,,
PNB Metlife India Insurance Company Limited,Unlisted,Life Insurance,70,"14,090.19",https://wwipl.com/,,,,,
National Securities Depository Limited,Pre IPO,Financial Service,700,"14,000.00",https://wwipl.com/,,,,,
SBI General Insurance Company Ltd,Unlisted,General Insurance,569,"12,388.00",https://wwipl.com/,,,,,
Vikram Solar Limited,Pre IPO,Renewable Energy,350,"9,059.05",https://wwipl.com/,,,,,
Imagine Marketing Limited,Pre IPO,Consumer Durable,890,"8,546.70",https://wwipl.com/,,,,,
Reliance General Insurance Company Limited,Unlisted,General Insurance,333,"8,437.08",https://wwipl.com/,,,,,
Acevector Limited,Unlisted,eCommerce,200,"7,946.12",https://wwipl.com/,,,,,
Signify Innovations India Limited,Unlisted,Consumer Durable,1375,"7,908.62",https://wwipl.com/,,,,,
Cochin International Airport Limited,Unlisted,Airport,180,"6,886.35",https://wwipl.com/,,,,,
Chennai Super Kings Cricket Limited,Unlisted,Sports Franchisee,165,"6,260.51",https://wwipl.com/,,,,,
API Holdings Ltd,Pre IPO,eCommerce,10,"6,142.04",https://wwipl.com/,,,,,
Motilal Oswal Home Finance Limited,Unlisted,Financial Service,9,"5,580.94",https://wwipl.com/,,,,,
ESL Steel Limited,Delisted,"Metal, Steel & Iron",30,"5,528.60",https://wwipl.com/,,,,,
Lava International Limited,Pre IPO,Consumer Durable,90,"5,179.19",https://wwipl.com/,,,,,
Philips India Limited,Delisted,Healthcare,875,"5,032.76",https://wwipl.com/,,,,,
Shriram Life Insurance Company Limited,Unlisted,Life Insurance,261,"4,681.69",https://wwipl.com/,,,,,
Otis Elevator Company India Limited,Delisted,Machinery,3750,"4,428.08",https://wwipl.com/,,,,,
Incred Financial Services Limited,Unlisted,Financial Service,100,"3,881.34",https://wwipl.com/,,,,,
Indian Potash Limited,Unlisted,Fertilisers,1300,"3,717.64",https://wwipl.com/,,,,,
Sterlite Power Transmission Limited,Unlisted,Power & Electricity,605,"3,701.39",https://wwipl.com/,,,,,
LE Travenues Technology Limited,Pre IPO,Tours & Travels,94,"3,475.65",https://wwipl.com/,,,,,
Merino Industries Limited,Unlisted,Plywood & Laminates,3100,"3,465.39",https://wwipl.com/,,,,,
Versuni India Home Solutions Limited,Unlisted,Consumer Durable,590,"3,393.52",https://wwipl.com/,,,,,
Polymatech Electronics Limited,Unlisted,Electricals,450,"3,234.43",https://wwipl.com/,,,,,
Carrier Airconditioning and Refrigeration Limited,Delisted,Airconditioning,300,"3,191.30",https://wwipl.com/,,,,,
Goa Shipyard Limited,Unlisted,Shipping,272,"3,166.18",https://wwipl.com/,,,,,
ELCID Investments Limited,Illiquid/unquoted,Financial Service,150999,"3,019.98",https://wwipl.com/,,,,,
Fincare Small Finance Bank Limited,Unlisted,Financial Service,136,"3,002.60",https://wwipl.com/,,,,,
The Hindustan Times Limited,Unlisted,Media,730,"2,996.09",https://wwipl.com/,,,,,
Bharat Nidhi Limited,Unlisted,Other,9709,"2,816.25",https://wwipl.com/,,,,,
BVG India Limited,Unlisted,Facility Management,1020,"2,717.77",https://wwipl.com/,,,,,
Camac Commercial Company Limited,Illiquid/unquoted,Real Estate,28800,"2,542.46",https://wwipl.com/,,,,,
TRL Krosaki Refractories Limited,Unlisted,"Metal, Steel & Iron",1200,"2,508.00",https://wwipl.com/,,,,,
B9 Beverages Limited,Unlisted,Breweries & Distilleries,590,"2,438.48",https://wwipl.com/,,,,,
C and S Electric Limited,Unlisted,Electric Equipment,550,"2,434.74",https://wwipl.com/,,,,,
DFM Foods Limited,Delisted,FMCG,467,"2,347.85",https://wwipl.com/,,,,,
Bofa Securities India Limited,Unlisted,Financial Service,1000,"2,315.50",https://wwipl.com/,,,,,
Digvijay Finlease Limited,Unlisted,Financial Service,1600,"2,121.51",https://wwipl.com/,,,,,
PNB Finance And Industries Limited,Unlisted,NBFC,6555,"2,097.60",https://wwipl.com/,,,,,
Hutti Gold Mines Company Limited,Unlisted,Mining & Minerals,70700,"2,094.16",https://wwipl.com/,,,,,
Kurlon Enterprise Limited,Unlisted,Consumer Durable,560,"2,046.93",https://wwipl.com/,,,,,
Paymate India Private Limited,Unlisted,Financial Service,350,"2,009.30",https://wwipl.com/,,,,,
Taparia Tools Limited,Illiquid/unquoted,Other,1313,"1,992.97",https://wwipl.com/,,,,,
Inox Leasing And Finance Limited,Unlisted,Financial Service,2000,"1,980.01",https://wwipl.com/,,,,,
Hotahoti Wood Products Limited,Illiquid/unquoted,Financial Service,990,"1,980.00",https://wwipl.com/,,,,,
Arohan Financial Services Limited,Unlisted,Financial Service,125,"1,977.23",https://wwipl.com/,,,,,
Utkarsh Coreinvest Limited,Unlisted,Financial Service,190,"1,872.12",https://wwipl.com/,,,,,
Fino PayTech Limited,Unlisted,Financial Service,140,"1,865.34",https://wwipl.com/,,,,,
Tongani Tea Company Limited,Unlisted,"Tea, Coffee & Plantation",1000,"1,857.75",https://wwipl.com/,,,,,
One Mobikwik Systems Limited,Pre IPO,Financial Service,320,"1,829.91",https://wwipl.com/,,,,,
Studds Accessories Limited,Unlisted,Safety Accessories,850,"1,672.52",https://wwipl.com/,,,,,
CTR Manufacturing Industries Private Limited,Unlisted,Electric Equipment,90000,"1,594.71",https://wwipl.com/,,,,,
Bharat Hotels Limited,Delisted,Hotel or Catering,200,"1,519.82",https://wwipl.com/,,,,,
Fincare Business Services Limited,Unlisted,Financial Service,46,"1,500.36",https://wwipl.com/,,,,,
IKF Finance Limited,Unlisted,Financial Service,221,"1,492.52",https://wwipl.com/,,,,,
GKN Driveline India Limited,Delisted,Auto Ancillaries,1150,"1,468.90",https://wwipl.com/,,,,,
Mohan Meakin Limited,Unlisted,Breweries & Distilleries,1650,"1,403.90",https://wwipl.com/,,,,,
National Commodity And Derivatives Exchange Limited,Unlisted,Financial Service,275,"1,393.59",https://wwipl.com/,,,,,
Indofil Industries Limited,Unlisted,Pesticides,640,"1,369.60",https://wwipl.com/,,,,,
Arch Pharma Labs Limited,Delisted,Other,90,"1,368.83",https://wwipl.com/,,,,,
Manjushree Technopack Limited,Delisted,Packaging,1010,"1,368.32",https://wwipl.com/,,,,,
Orbis Financial Corporation Limited,Unlisted,Financial Service,115,"1,306.78",https://wwipl.com/,,,,,
Capital Small Finance Bank Limited,Pre IPO,Financial Service,380,"1,304.87",https://wwipl.com/,,,,,
ESDS Software Solution Limited,Pre IPO,"IT, Software",225,"1,257.29",https://wwipl.com/,,,,,
Kannur International Airport Limited,Unlisted,Airport,93,"1,244.45",https://wwipl.com/,,,,,
Gandhar Oil Refinery India Limited,Unlisted,"Energy, Oil & Gas",300,"1,221.70",https://wwipl.com/,,,,,
Afcons Infrastructure Limited,Unlisted,Construction,34,"1,158.51",https://wwipl.com/,,,,,
India Exposition Mart Limited,Pre IPO,Other,135,"1,004.73",https://wwipl.com/,,,,,
SMC Global Securities Limited,Illiquid/unquoted,Financial Service,88,995.583,https://wwipl.com/,,,,,
Ambadi Investments Limited,Unlisted,Investment & Holding,4000,977.209,https://wwipl.com/,,,,,
Infrastructure Leasing And Financial Services Ltd,Unlisted,Infrastructure,70,898.823,https://wwipl.com/,,,,,
A V Thomas And Company Limited,Unlisted,"Tea, Coffee & Plantation",16750,787.585,https://wwipl.com/,,,,,
Maharaja Shree Umaid Mills Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",125,743.606,https://wwipl.com/,,,,,
Kanara Consumer Products Ltd,Unlisted,Household Products,490,729.248,https://wwipl.com/,,,,,
Dalmia Bharat Refractories Limited,Illiquid/unquoted,"Metal, Steel & Iron",148,654.162,https://wwipl.com/,,,,,
Orissa Sponge Iron And Steel Limited,Suspended,"Metal, Steel & Iron",219,652.401,https://wwipl.com/,,,,,
Vanaz Engineers Limited,Unlisted,Auto Ancillaries,3000,647.316,https://wwipl.com/,,,,,
Lakeshore Hospital And Research Centre Limited,Unlisted,Hospital,64,640,https://wwipl.com/,,,,,
Sital Leasing And Finance Limited,Illiquid/unquoted,Financial Service,10,612.574,https://wwipl.com/,,,,,
Carol Info Services Limited,Delisted,"IT, Software",171,605.964,https://wwipl.com/,,,,,
Sri Sarvaraya Sugars Limited,Illiquid/unquoted,Sugar,1920,585.232,https://wwipl.com/,,,,,
Essel Mining and Industries Limited,Unlisted,Mining & Minerals,3,576.605,https://wwipl.com/,,,,,
Axles India Limited,Unlisted,Auto Ancillaries,225,573.54,https://wwipl.com/,,,,,
Deepak Industries Limited,Unlisted,Auto Components,1400,553.901,https://wwipl.com/,,,,,
Trident India Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",1,549.939,https://wwipl.com/,,,,,
Jolly Board Limited,Unlisted,Forestry & Wood,12000,545.604,https://wwipl.com/,,,,,
Transformers And Electricals Kerala Limited,Delisted,Electric Equipment,125,537.092,https://wwipl.com/,,,,,
Elofic Industries Limited,Unlisted,Auto Ancillaries,2100,526.758,https://wwipl.com/,,,,,
Alba Polymers Limited,Illiquid/unquoted,Service,350,514.946,https://wwipl.com/,,,,,
Roots Multiclean Limited,Unlisted,Other,2520,504,https://wwipl.com/,,,,,
Parry Agro Industries Limited,Delisted,Agro Products,1200,450.818,https://wwipl.com/,,,,,
Martin And Harris Laboratories Limited,Unlisted,Pharma,1080,431.572,https://wwipl.com/,,,,,
Metropolitan Stock Exchange Of India Limited,Unlisted,Financial Service,1,414.107,https://wwipl.com/,,,,,
Jana Small Finance Bank Limited,Unlisted,Financial Service,75,412.34,https://wwipl.com/,,,,,
Frick India Limited,Illiquid/unquoted,Auto Ancillaries,6700,401.983,https://wwipl.com/,,,,,
Lotte India Corporation Limited,Delisted,Other,350,380.232,https://wwipl.com/,,,,,
Midland Microfin Limited,Unlisted,Financial Service,104,374.192,https://wwipl.com/,,,,,
Balmer Lawrie Van Leer Limited,Unlisted,Packaging,199,357.699,https://wwipl.com/,,,,,
Credo Mineral Industries Limited,Unlisted,Mining & Minerals,54,354.71,https://wwipl.com/,,,,,
Ganga Care Hospital Limited,Unlisted,Healthcare,298,353.503,https://wwipl.com/,,,,,
Akme Fintrade India Limited,Unlisted,NBFC,110,348.425,https://wwipl.com/,,,,,
Hira Ferro Alloys Limited,Delisted,"Metal, Steel & Iron",150,347.828,https://wwipl.com/,,,,,
Honeywell Electrical Devices And Systems India Limited,Unlisted,Electric Equipment,3600,342.59,https://wwipl.com/,,,,,
Xerox India Limited,Delisted,Office Automation,74,332.027,https://wwipl.com/,,,,,
U P Electricals Limited,Illiquid/unquoted,Electricals,173,317.9,https://wwipl.com/,,,,,
Ring Plus Aqua Limited,Unlisted,Auto Components,405,314.145,https://wwipl.com/,,,,,
Blossom Industries Limited,Unlisted,Breweries & Distilleries,85,313.579,https://wwipl.com/,,,,,
Turanth Suraksha Insurance Web Aggregator Private Limited,Unlisted,Financial Service,700,308.147,https://wwipl.com/,,,,,
Maharashtra Knowledge Corporation Limited,Unlisted,Education,380,307.047,https://wwipl.com/,,,,,
Rasoi Limited,Delisted,FMCG,31500,304.29,https://wwipl.com/,,,,,
Godavari Biorefineries Limited,Pre IPO,Miscellaneous,71,297.795,https://wwipl.com/,,,,,
Eaton Fluid Power Limited,Unlisted,Power & Electricity,425,295.8,https://wwipl.com/,,,,,
Gannon Dunkerley and Co Limited,Unlisted,Other,1100,295.68,https://wwipl.com/,,,,,
Indian Commodity Exchange Limited,Unlisted,Financial Service,4,294.4,https://wwipl.com/,,,,,
Moneytech Finlease Limited,Illiquid/unquoted,Financial Service,372,286.28,https://wwipl.com/,,,,,
Eastern Investments Limited,Illiquid/unquoted,Financial Service,2000,283.791,https://wwipl.com/,,,,,
ETA Karnataka Estates Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",130,279.583,https://wwipl.com/,,,,,
Capricon Realty Limited,Unlisted,Real Estate,300006,269.915,https://wwipl.com/,,,,,
Verum Properties Limited,Illiquid/unquoted,Real Estate,391,258.127,https://wwipl.com/,,,,,
Schneider Electric President Systems Limited,Delisted,Electric Equipment,425,257.04,https://wwipl.com/,,,,,
Hella India Lighting Limited,Unlisted,Auto Components,810,256.883,https://wwipl.com/,,,,,
Panasonic Appliances India Company Limited,Delisted,Household Products,202,256.07,https://wwipl.com/,,,,,
Garg Acrylics Limited,Illiquid/unquoted,Miscellaneous,384,254.917,https://wwipl.com/,,,,,
San Engineering And Locomotive Company Limited,Unlisted,Auto Components,550,244.75,https://wwipl.com/,,,,,
India Carbon Limited,Unlisted,Chemical,900,238.5,https://wwipl.com/,,,,,
AMNS Ports India Limited,Unlisted,Shipping,35,231.956,https://wwipl.com/,,,,,
NCL Buildtek Limited,Unlisted,Building Materials,200,231.4,https://wwipl.com/,,,,,
UP Twiga Fiberglass Limited,Unlisted,Other,280,222.343,https://wwipl.com/,,,,,
Mcnally Sayaji Engineering Limited,Illiquid/unquoted,Equipment,175,220.312,https://wwipl.com/,,,,,
Hindusthan Engineering And Industries Limited,Unlisted,Other,144,216.011,https://wwipl.com/,,,,,
Inkel Limited,Unlisted,Infrastructure,12,213.377,https://wwipl.com/,,,,,
Wintac Limited,Delisted,Pharma,207,207.502,https://wwipl.com/,,,,,
IHP Finvest Limited,Unlisted,Financial Service,3600,205.122,https://wwipl.com/,,,,,
Malayalam Communications Limited,Unlisted,Entertainment,25000,197.28,https://wwipl.com/,,,,,
Berar Finance Limited,Delisted,Financial Service,155,191.221,https://wwipl.com/,,,,,
Nayara Energy Limited 8 NCD 15DC25 FVRS350,Delisted,"Energy, Oil & Gas",255,187.125,https://wwipl.com/,,,,,
Pharmed Limited,Delisted,Healthcare,430,185.167,https://wwipl.com/,,,,,
T Stanes and Company Limited,Unlisted,Hotel or Catering,770,182.196,https://wwipl.com/,,,,,
Resins and Plastics Limited,Illiquid/unquoted,Other,415,173.15,https://wwipl.com/,,,,,
Gujarat NRE Coke Limited,Suspended,Other,1,165.094,https://wwipl.com/,,,,,
Bagrrys India Private Limited,Unlisted,FMCG,2100,161.618,https://wwipl.com/,,,,,
Empire Spices and Foods Limited,Unlisted,FMCG,329,159.257,https://wwipl.com/,,,,,
Maxvalue Credits And Investments Limited,Unlisted,Financial Service,5,158.891,https://wwipl.com/,,,,,
Bliss Enterprises,Unlisted,Miscellaneous,18,154.625,https://wwipl.com/,,,,,
J K Investo Trade India Limited,Delisted,Investment & Holding,210,153.766,https://wwipl.com/,,,,,
Midland Rubber And Produce Co Ltd,Unlisted,"Tea, Coffee & Plantation",3880,150.965,https://wwipl.com/,,,,,
The Indian Steel And Wire Products Limited,Delisted,"Metal, Steel & Iron",250,149.797,https://wwipl.com/,,,,,
Asiatic Oxygen Ltd,Unlisted,Chemical,900,148.687,https://wwipl.com/,,,,,
Panasonic AVC Networks India Company Limited,Unlisted,Other,29,145,https://wwipl.com/,,,,,
Mitsubishi Heavy Industries India Precision Tools Limited,Unlisted,Other,207,144.279,https://wwipl.com/,,,,,
The Delhi Flour Mills Company Limited,Unlisted,Food & Beverages,720,131.48,https://wwipl.com/,,,,,
Vajresh Consultants Limited,Unlisted,Other,110,126.072,https://wwipl.com/,,,,,
J K Cotton Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",35,125.396,https://wwipl.com/,,,,,
Asscher Enterprises Limited,Unlisted,Trading,111,125.293,https://wwipl.com/,,,,,
The Ramaraju Surgical Cotton Mills Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",315,124.317,https://wwipl.com/,,,,,
Bhishma Realty Limited,Unlisted,Real Estate,125100,123.749,https://wwipl.com/,,,,,
The Hooghly Mills Company Ltd,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",150,119.07,https://wwipl.com/,,,,,
